name;wiki_link
Amazonas Department;/wiki/Amazonas_Department
Antioquia Department;/wiki/Antioquia_Department
Arauca Department;/wiki/Arauca_Department
Atlántico Department;/wiki/Atl%C3%A1ntico_Department
Bogotá, Capital District;/wiki/Bogot%C3%A1;_Capital_District
Bolívar Department;/wiki/Bol%C3%ADvar_Department
Boyacá Department;/wiki/Boyac%C3%A1_Department
Caldas Department;/wiki/Caldas_Department
Caquetá Department;/wiki/Caquet%C3%A1_Department
Casanare Department;/wiki/Casanare_Department
Cauca Department;/wiki/Cauca_Department
Cesar Department;/wiki/Cesar_Department
Chocó Department;/wiki/Choc%C3%B3_Department
Córdoba Department;/wiki/C%C3%B3rdoba_Department
Cundinamarca Department;/wiki/Cundinamarca_Department
La Guajira Department;/wiki/La_Guajira_Department
Guainía Department;/wiki/Guain%C3%ADa_Department
Guaviare Department;/wiki/Guaviare_Department
Huila Department;/wiki/Huila_Department
Magdalena Department;/wiki/Magdalena_Department
Meta Department;/wiki/Meta_Department
Nariño Department;/wiki/Nari%C3%B1o_Department
Norte de Santander Department;/wiki/Norte_de_Santander_Department
Putumayo Department;/wiki/Putumayo_Department
Quindío Department;/wiki/Quind%C3%ADo_Department
Risaralda Department;/wiki/Risaralda_Department
San Andrés and Providencia Department;/wiki/Archipelago_of_San_Andr%C3%A9s;_Providencia_and_Santa_Catalina
Santander Department;/wiki/Santander_Department
Sucre Department;/wiki/Sucre_Department
Tolima Department;/wiki/Tolima_Department
Valle del Cauca Department;/wiki/Valle_del_Cauca_Department
Vaupés Department;/wiki/Vaup%C3%A9s_Department
Vichada Department;/wiki/Vichada_Department
